index,SEND_SPG_INNB,REC_SPG_INNB,DL_GD_LCLS_NM,DL_GD_MCLS_NM,INVC_CONT
81,4.825E+15,5.011E+15,생활/건강,주방용품,5
82,5.011E+15,2.826E+15,식품,수산,6
83,5.011E+15,1.123E+15,식품,농산물,3
84,5.011E+15,1.147E+15,식품,농산물,3
85,5.011E+15,1.15E+15,식품,농산물,3
86,5.011E+15,1.156E+15,식품,농산물,16
87,5.011E+15,2.617E+15,식품,농산물,4
88,5.011E+15,2.647E+15,식품,농산물,5
89,5.011E+15,2.726E+15,식품,농산물,4
90,5.011E+15,2.729E+15,식품,농산물,3
91,5.011E+15,2.8185E+15,식품,농산물,7
92,5.011E+15,2.8245E+15,식품,농산물,3
93,5.011E+15,2.826E+15,식품,농산물,3
94,5.011E+15,2.92E+15,식품,농산물,3
95,5.011E+15,3.117E+15,식품,농산물,3
96,5.011E+15,4.1111E+15,식품,농산물,3
97,5.011E+15,4.1195E+15,식품,농산물,3
98,5.011E+15,4.121E+15,식품,농산물,3
99,5.011E+15,4.1281E+15,식품,농산물,3
100,5.011E+15,4.131E+15,식품,농산물,3
101,5.011E+15,4.136E+15,식품,농산물,3
102,5.011E+15,4.137E+15,식품,농산물,4
103,5.011E+15,4.139E+15,식품,농산물,3
104,5.011E+15,4.1461E+15,식품,농산물,6
105,5.011E+15,4.148E+15,식품,농산물,3
106,5.011E+15,4.148E+15,식품,농산물,3
107,5.011E+15,4.148E+15,식품,농산물,4
108,5.011E+15,4.15E+15,식품,농산물,3
109,5.011E+15,4.155E+15,식품,농산물,4
110,5.011E+15,4.159E+15,식품,농산물,3
111,5.011E+15,4.4131E+15,식품,농산물,3
112,5.011E+15,4.4131E+15,식품,농산물,7
113,5.011E+15,4.5113E+15,식품,농산물,3
114,5.011E+15,4.615E+15,식품,농산물,3
115,5.011E+15,4.687E+15,식품,농산물,4
116,5.011E+15,4.713E+15,식품,농산물,3
117,5.011E+15,4.8123E+15,식품,농산물,3
118,5.011E+15,4.8129E+15,식품,농산물,4
119,5.011E+15,4.8129E+15,식품,농산물,3
120,5.011E+15,2.729E+15,식품,농산물,3
121,5.011E+15,4.3111E+15,식품,가공식품,3
122,5.011E+15,1.144E+15,식품,농산물,3
123,5.011E+15,2.82E+15,식품,농산물,4
124,5.011E+15,2.92E+15,식품,농산물,3
125,5.011E+15,4.1113E+15,식품,농산물,3
126,5.011E+15,4.1199E+15,식품,농산물,3
127,5.011E+15,4.1271E+15,식품,농산물,3
128,5.011E+15,4.1281E+15,식품,농산물,3
129,5.011E+15,4.145E+15,식품,농산물,3
130,5.011E+15,4.1461E+15,식품,농산물,3
131,5.011E+15,4.223E+15,식품,농산물,4
132,5.011E+15,4.684E+15,식품,농산물,8
133,5.011E+15,4.825E+15,식품,농산물,3
134,5.011E+15,4.131E+15,식품,과자,22
135,5.011E+15,4.719E+15,식품,수산,7
136,5.011E+15,4.513E+15,식품,음료,13
137,5.011E+15,1.126E+15,식품,농산물,6
138,5.011E+15,4.115E+15,식품,농산물,4
139,5.011E+15,3.114E+15,식품,축산,3
140,5.011E+15,4.1287E+15,식품,농산물,3
141,5.011E+15,4.728E+15,식품,농산물,4
142,5.011E+15,4.1173E+15,식품,가공식품,10
143,5.011E+15,4.122E+15,식품,수산,3
144,5.011E+15,4.1461E+15,식품,기타식품,4
145,5.011E+15,4.141E+15,식품,냉동/간편조리식품,4
146,5.011E+15,4.623E+15,식품,냉동/간편조리식품,3
147,5.011E+15,4.782E+15,식품,기타식품,5
148,5.011E+15,1.15E+15,식품,농산물,3
149,5.011E+15,4.1111E+15,식품,기타식품,3
150,5.011E+15,4.1199E+15,식품,가공식품,4
151,5.011E+15,4.822E+15,식품,농산물,3
152,5.011E+15,4.613E+15,식품,농산물,3
153,5.011E+15,1.1305E+15,식품,농산물,3
154,5.011E+15,1.162E+15,패션의류,기타패션의류,7
155,5.011E+15,4.161E+15,식품,수산,3
156,5.011E+15,4.5113E+15,식품,수산,3
157,5.011E+15,4.514E+15,식품,수산,5
158,5.011E+15,2.635E+15,식품,농산물,33
159,5.011E+15,4.211E+15,패션의류,기타패션의류,3
160,5.011E+15,4.427E+15,식품,농산물,4
161,5.011E+15,4.514E+15,식품,수산,6
162,5.011E+15,4.615E+15,식품,건강식품,36
163,5.011E+15,1.111E+15,식품,음료,4
164,5.011E+15,2.72E+15,식품,농산물,3
165,5.011E+15,4.165E+15,식품,음료,3
166,5.011E+15,4.679E+15,식품,농산물,3
167,5.011E+15,4.514E+15,식품,농산물,4
168,5.011E+15,1.12E+15,식품,과자,4
169,5.011E+15,1.162E+15,식품,농산물,3
170,5.011E+15,4.42E+15,식품,농산물,3
171,5.011E+15,1.159E+15,식품,농산물,4
172,5.011E+15,1.168E+15,식품,농산물,3
173,5.011E+15,1.174E+15,식품,농산물,5
174,5.011E+15,2.871E+15,식품,음료,3
175,5.011E+15,4.136E+15,식품,농산물,3
176,5.011E+15,1.117E+15,생활/건강,문구/사무용품,4
177,5.011E+15,1.138E+15,식품,농산물,3
178,5.011E+15,1.15E+15,식품,농산물,3
179,5.011E+15,1.165E+15,식품,농산물,3
180,5.011E+15,2.8245E+15,식품,농산물,4
181,5.011E+15,4.783E+15,식품,농산물,3
182,5.011E+15,4.817E+15,식품,농산물,3
183,5.011E+15,4.1465E+15,식품,음료,6
184,5.011E+15,2.826E+15,식품,음료,3
185,5.011E+15,4.719E+15,식품,음료,3
186,5.011E+15,4.4133E+15,식품,농산물,6
187,5.011E+15,4.115E+15,식품,농산물,3
188,5.011E+15,4.713E+15,식품,농산물,17
189,5.011E+15,4.421E+15,식품,농산물,4
190,5.011E+15,1.165E+15,식품,농산물,9
191,5.011E+15,1.114E+15,생활/건강,음반,4
192,5.011E+15,1.117E+15,생활/건강,음반,3
193,5.011E+15,1.174E+15,생활/건강,음반,3
194,5.011E+15,2.72E+15,생활/건강,음반,3
195,5.011E+15,3.114E+15,생활/건강,음반,3
196,5.011E+15,4.1135E+15,생활/건강,음반,3
197,5.011E+15,4.115E+15,생활/건강,음반,4
198,5.011E+15,5.011E+15,생활/건강,음반,3
199,5.011E+15,4.1135E+15,식품,농산물,3
200,5.011E+15,4.163E+15,식품,농산물,4
201,5.011E+15,4.427E+15,식품,농산물,3
202,5.011E+15,2.729E+15,식품,축산,25
203,5.011E+15,4.315E+15,식품,기타식품,5
204,5.011E+15,3.017E+15,식품,농산물,3
205,5.011E+15,4.159E+15,식품,농산물,3
206,5.011E+15,3.023E+15,식품,농산물,3
207,5.011E+15,4.129E+15,식품,농산물,3
208,5.011E+15,1.144E+15,식품,농산물,6
209,5.011E+15,4.48E+15,식품,농산물,5
210,5.011E+15,2.714E+15,식품,음료,8
211,5.011E+15,2.647E+15,식품,농산물,5
212,5.011E+15,1.132E+15,식품,농산물,12
213,5.011E+15,4.1465E+15,식품,농산물,3
214,5.011E+15,4.825E+15,식품,농산물,4
215,5.011E+15,1.159E+15,식품,음료,3
216,5.011E+15,4.8129E+15,식품,음료,3
217,5.011E+15,2.8237E+15,식품,농산물,3
218,5.011E+15,4.182E+15,식품,농산물,4
219,5.013E+15,2.8245E+15,식품,농산물,10
220,5.013E+15,4.115E+15,식품,농산물,3
221,5.013E+15,2.8245E+15,식품,기타식품,3
222,5.013E+15,1.159E+15,식품,농산물,5
223,5.013E+15,4.122E+15,식품,농산물,4
224,5.013E+15,2.647E+15,식품,농산물,6
225,5.013E+15,1.129E+15,식품,농산물,3
226,5.013E+15,4.159E+15,식품,농산물,5
227,5.013E+15,4.8129E+15,식품,농산물,4
228,5.013E+15,1.129E+15,식품,농산물,5
229,5.013E+15,4.1271E+15,식품,농산물,5
230,5.013E+15,2.723E+15,생활/건강,생활용품,4
231,5.013E+15,1.1215E+15,식품,농산물,3
232,5.013E+15,1.129E+15,식품,농산물,3
233,5.013E+15,1.144E+15,식품,농산물,3
234,5.013E+15,1.171E+15,식품,농산물,3
235,5.013E+15,2.635E+15,식품,농산물,3
236,5.013E+15,2.635E+15,식품,농산물,3
237,5.013E+15,2.917E+15,식품,농산물,10
238,5.013E+15,3.117E+15,식품,농산물,4
239,5.013E+15,3.12E+15,식품,농산물,4
240,5.013E+15,4.1135E+15,식품,농산물,3
241,5.013E+15,4.1135E+15,식품,농산물,3
242,5.013E+15,4.1135E+15,식품,농산물,3
243,5.013E+15,4.115E+15,식품,농산물,3
244,5.013E+15,4.1281E+15,식품,농산물,3
245,5.013E+15,4.5111E+15,식품,농산물,3
246,5.013E+15,4.514E+15,식품,농산물,3
247,5.013E+15,4.155E+15,식품,농산물,5
248,5.013E+15,2.917E+15,식품,농산물,4
249,5.013E+15,3.12E+15,식품,농산물,3
250,5.013E+15,4.1195E+15,식품,농산물,3
251,5.013E+15,4.4131E+15,식품,농산물,5
252,5.013E+15,1.141E+15,식품,농산물,3
253,5.013E+15,1.114E+15,식품,농산물,3
254,5.013E+15,1.141E+15,식품,농산물,3
255,5.013E+15,1.162E+15,식품,농산물,3
256,5.013E+15,1.171E+15,식품,농산물,3
257,5.013E+15,2.8185E+15,식품,농산물,3
258,5.013E+15,2.826E+15,식품,농산물,7
259,5.013E+15,4.1195E+15,식품,농산물,7
260,5.013E+15,4.1281E+15,식품,농산물,3
261,5.013E+15,4.313E+15,식품,농산물,4
262,5.013E+15,4.423E+15,식품,농산물,3
263,5.013E+15,4.48E+15,식품,농산물,4
264,5.013E+15,4.8129E+15,식품,농산물,3
265,5.013E+15,4.889E+15,식품,농산물,3
266,5.013E+15,2.717E+15,식품,농산물,4
267,5.013E+15,4.157E+15,식품,농산물,3
268,5.013E+15,4.148E+15,식품,농산물,3
269,5.013E+15,4.221E+15,식품,농산물,3
270,5.013E+15,1.147E+15,식품,농산물,3
271,5.013E+15,4.1281E+15,식품,농산물,3
272,5.013E+15,4.833E+15,식품,농산물,8
273,5.013E+15,3.017E+15,식품,농산물,4
274,5.013E+15,4.1115E+15,식품,농산물,3
275,5.013E+15,4.513E+15,식품,농산물,3
276,5.013E+15,4.822E+15,식품,농산물,16
277,5.013E+15,1.129E+15,식품,농산물,3
278,5.013E+15,2.647E+15,식품,농산물,3
279,5.013E+15,4.1113E+15,식품,농산물,5
280,5.013E+15,1.123E+15,식품,농산물,7
281,5.013E+15,1.156E+15,식품,농산물,7
282,5.013E+15,4.1273E+15,식품,농산물,4
283,5.013E+15,4.4131E+15,식품,농산물,3
284,5.013E+15,2.8185E+15,식품,농산물,5
285,5.013E+15,4.313E+15,식품,농산물,3
286,5.013E+15,2.723E+15,식품,농산물,4
287,5.013E+15,1.132E+15,식품,음료,3
288,5.013E+15,3.117E+15,식품,농산물,3
289,5.013E+15,1.15E+15,식품,농산물,4
290,5.013E+15,4.143E+15,식품,과자,4
291,5.013E+15,4.38E+15,식품,농산물,10
292,5.013E+15,1.153E+15,식품,농산물,4
293,5.013E+15,1.168E+15,식품,농산물,3
294,5.013E+15,1.171E+15,식품,농산물,3
295,5.013E+15,4.115E+15,식품,농산물,3
296,5.013E+15,4.121E+15,식품,농산물,4
297,5.013E+15,4.1465E+15,식품,농산물,3
298,5.013E+15,4.42E+15,식품,농산물,4
299,5.013E+15,4.8121E+15,식품,농산물,3
300,5.013E+15,4.157E+15,식품,농산물,3
301,5.013E+15,3.611E+15,식품,농산물,7
302,5.013E+15,3.011E+15,식품,농산물,10
303,5.013E+15,1.141E+15,식품,농산물,5
304,5.013E+15,2.635E+15,식품,농산물,3
305,5.013E+15,1.123E+15,식품,농산물,5
306,5.013E+15,5.011E+15,식품,농산물,4
307,5.013E+15,4.131E+15,식품,농산물,3
308,5.013E+15,4.4133E+15,식품,농산물,4
309,5.013E+15,2.644E+15,식품,농산물,7
310,5.013E+15,4.1171E+15,식품,농산물,7
311,5.013E+15,4.15E+15,식품,농산물,6
312,5.013E+15,4.1287E+15,식품,농산물,3
313,5.013E+15,2.629E+15,식품,농산물,3
314,1.117E+15,5.011E+15,디지털/가전,기타디지털/가전,3
315,1.117E+15,5.013E+15,디지털/가전,기타디지털/가전,9
316,1.117E+15,5.011E+15,생활/건강,문구/사무용품,4
317,1.129E+15,5.011E+15,생활/건강,생활용품,3
318,1.135E+15,5.011E+15,생활/건강,반려동물,8
319,1.153E+15,5.013E+15,식품,건강식품,5
320,1.159E+15,5.013E+15,패션의류,기타패션의류,3
321,1.165E+15,5.013E+15,식품,가공식품,5
322,2.723E+15,5.011E+15,식품,과자,4
323,2.723E+15,5.011E+15,식품,가공식품,5
324,2.723E+15,5.013E+15,식품,가공식품,3
325,2.771E+15,5.011E+15,식품,농산물,3
326,3.02E+15,5.013E+15,식품,과자,3
327,3.171E+15,5.011E+15,식품,건강식품,6
328,4.1111E+15,5.011E+15,식품,농산물,3
329,4.1117E+15,5.011E+15,여행/문화,문화컨텐츠,5
330,4.122E+15,5.011E+15,생활/건강,건강용품,4
331,4.122E+15,5.011E+15,식품,가공식품,3
332,4.122E+15,5.013E+15,식품,가공식품,3
333,4.1285E+15,5.011E+15,화장품/미용,스킨케어,3
334,4.1287E+15,5.013E+15,생활/건강,주방용품,10
335,4.1287E+15,5.013E+15,여행/문화,문화컨텐츠,3
336,4.136E+15,5.011E+15,생활/건강,반려동물,4
337,4.136E+15,5.011E+15,생활/건강,생활용품,3
338,4.136E+15,5.011E+15,생활/건강,반려동물,3
339,4.136E+15,5.011E+15,생활/건강,반려동물,6
340,4.141E+15,5.011E+15,식품,가공식품,4
341,4.141E+15,5.013E+15,식품,가공식품,3
342,4.141E+15,5.011E+15,화장품/미용,스킨케어,3
343,4.141E+15,5.011E+15,패션의류,상의,4
344,4.141E+15,5.013E+15,식품,건강식품,3
345,4.1461E+15,5.011E+15,생활/건강,문구/사무용품,10
346,4.1461E+15,5.013E+15,화장품/미용,스킨케어,3
347,4.1461E+15,5.011E+15,식품,냉동/간편조리식품,4
348,4.148E+15,5.011E+15,여행/문화,문화컨텐츠,6
349,4.148E+15,5.011E+15,여행/문화,문화컨텐츠,3
350,4.148E+15,5.011E+15,여행/문화,문화컨텐츠,3
351,4.148E+15,5.011E+15,여행/문화,문화컨텐츠,6
352,4.148E+15,5.011E+15,여행/문화,문화컨텐츠,3
353,4.148E+15,5.013E+15,여행/문화,문화컨텐츠,6
354,4.148E+15,5.013E+15,여행/문화,문화컨텐츠,4
355,4.148E+15,5.011E+15,여행/문화,문화컨텐츠,3
356,4.148E+15,5.011E+15,여행/문화,문화컨텐츠,12
357,4.148E+15,5.011E+15,생활/건강,음반,4
358,4.148E+15,5.013E+15,생활/건강,음반,3
359,4.15E+15,5.011E+15,생활/건강,생활용품,4
360,4.15E+15,5.011E+15,식품,건강식품,3
361,4.15E+15,5.011E+15,생활/건강,반려동물,4
362,4.15E+15,5.013E+15,식품,건강식품,5
363,4.157E+15,5.013E+15,생활/건강,주방용품,13
364,4.157E+15,5.011E+15,식품,농산물,12
365,4.159E+15,5.011E+15,식품,건강식품,5
366,4.159E+15,5.011E+15,식품,냉동/간편조리식품,3
367,4.159E+15,5.011E+15,식품,가공식품,4
368,4.159E+15,5.011E+15,식품,농산물,4
369,4.159E+15,5.011E+15,식품,음료,4
370,4.159E+15,5.011E+15,식품,냉동/간편조리식품,5
371,4.161E+15,5.011E+15,식품,냉동/간편조리식품,4
372,4.161E+15,5.013E+15,생활/건강,주방용품,3
373,4.282E+15,5.011E+15,식품,음료,3
374,4.3113E+15,5.013E+15,생활/건강,주방용품,4
375,4.376E+15,5.013E+15,식품,농산물,3
376,4.42E+15,5.011E+15,생활/건강,반려동물,3
377,4.579E+15,5.011E+15,식품,축산,3
378,4.7113E+15,5.013E+15,식품,과자,4
379,5.011E+15,4.514E+15,식품,수산,3
380,5.011E+15,1.126E+15,식품,농산물,3
381,5.011E+15,1.129E+15,식품,농산물,3
382,5.011E+15,1.1305E+15,식품,농산물,3
383,5.011E+15,1.132E+15,식품,농산물,4
384,5.011E+15,1.15E+15,식품,농산물,4
385,5.011E+15,1.165E+15,식품,농산물,3
386,5.011E+15,2.626E+15,식품,농산물,3
387,5.011E+15,2.635E+15,식품,농산물,4
388,5.011E+15,2.635E+15,식품,농산물,5
389,5.011E+15,2.653E+15,식품,농산물,5
390,5.011E+15,2.711E+15,식품,농산물,3
391,5.011E+15,2.8185E+15,식품,농산물,3
392,5.011E+15,2.82E+15,식품,농산물,3
393,5.011E+15,2.8237E+15,식품,농산물,3
394,5.011E+15,2.826E+15,식품,농산물,4
395,5.011E+15,3.02E+15,식품,농산물,3
396,5.011E+15,3.611E+15,식품,농산물,3
397,5.011E+15,4.1135E+15,식품,농산물,3
398,5.011E+15,4.137E+15,식품,농산물,3
399,5.011E+15,4.141E+15,식품,농산물,3
400,5.011E+15,4.1461E+15,식품,농산물,4
401,5.011E+15,4.1461E+15,식품,농산물,3
402,5.011E+15,4.159E+15,식품,농산물,3
403,5.011E+15,4.3113E+15,식품,농산물,6
404,5.011E+15,4.4133E+15,식품,농산물,3
405,5.011E+15,4.423E+15,식품,농산물,3
406,5.011E+15,4.5113E+15,식품,농산물,5
407,5.011E+15,4.611E+15,식품,농산물,4
408,5.011E+15,4.613E+15,식품,농산물,3
409,5.011E+15,4.713E+15,식품,농산물,4
410,5.011E+15,2.726E+15,식품,농산물,11
411,5.011E+15,4.211E+15,식품,건강식품,3
412,5.011E+15,1.1215E+15,식품,농산물,3
413,5.011E+15,2.623E+15,식품,농산물,3
414,5.011E+15,2.635E+15,식품,농산물,3
415,5.011E+15,2.641E+15,식품,농산물,7
416,5.011E+15,2.8185E+15,식품,농산물,4
417,5.011E+15,2.8237E+15,식품,농산물,3
418,5.011E+15,4.121E+15,식품,농산물,3
419,5.011E+15,4.121E+15,식품,농산물,3
420,5.011E+15,4.1463E+15,식품,농산물,3
421,5.011E+15,4.159E+15,식품,농산물,3
422,5.011E+15,4.375E+15,식품,농산물,3
423,5.011E+15,4.673E+15,식품,농산물,3
424,5.011E+15,4.183E+15,식품,수산,3
425,5.011E+15,4.481E+15,식품,수산,8
426,5.011E+15,4.1133E+15,식품,농산물,3
427,5.011E+15,4.159E+15,식품,농산물,3
428,5.011E+15,4.1135E+15,식품,농산물,7
429,5.011E+15,1.123E+15,식품,농산물,3
430,5.011E+15,2.629E+15,식품,농산물,3
431,5.011E+15,4.136E+15,식품,농산물,4
432,5.011E+15,4.136E+15,식품,음료,3
433,5.011E+15,4.1465E+15,식품,농산물,3
434,5.011E+15,4.273E+15,식품,농산물,4
435,5.011E+15,4.817E+15,식품,농산물,3
436,5.011E+15,4.728E+15,식품,농산물,3
437,5.011E+15,4.775E+15,식품,농산물,5
438,5.011E+15,2.623E+15,식품,건강식품,7
439,5.011E+15,4.377E+15,식품,농산물,3
440,5.011E+15,4.521E+15,식품,농산물,9
441,5.011E+15,1.162E+15,식품,축산,11
442,5.011E+15,4.1273E+15,식품,농산물,3
443,5.011E+15,1.141E+15,식품,농산물,8
444,5.011E+15,3.017E+15,식품,음료,4
445,5.011E+15,4.215E+15,식품,수산,3
446,5.011E+15,4.313E+15,식품,수산,11
447,5.011E+15,1.171E+15,식품,농산물,4
448,5.011E+15,4.8123E+15,식품,농산물,3
449,5.011E+15,4.157E+15,식품,음료,14
450,5.011E+15,4.1131E+15,식품,가공식품,4
451,5.011E+15,4.3111E+15,식품,음료,3
452,5.011E+15,4.617E+15,식품,농산물,4
453,5.011E+15,4.1287E+15,식품,음료,3
454,5.011E+15,1.174E+15,식품,농산물,3
455,5.011E+15,4.155E+15,식품,농산물,5
456,5.011E+15,4.42E+15,식품,농산물,5
457,5.011E+15,1.162E+15,식품,농산물,4
458,5.011E+15,3.611E+15,식품,농산물,3
459,5.011E+15,4.159E+15,식품,농산물,3
460,5.011E+15,4.5113E+15,식품,농산물,3
461,5.011E+15,4.165E+15,식품,농산물,5
462,5.011E+15,1.114E+15,식품,농산물,4
463,5.011E+15,1.171E+15,식품,농산물,4
464,5.011E+15,2.72E+15,식품,농산물,3
465,5.011E+15,4.1113E+15,식품,농산물,3
466,5.011E+15,4.115E+15,식품,농산물,5
467,5.011E+15,4.276E+15,식품,수산,6
468,5.011E+15,3.017E+15,식품,기타식품,3
469,5.011E+15,3.02E+15,식품,음료,4
470,5.011E+15,1.1215E+15,식품,농산물,6
471,5.011E+15,1.126E+15,식품,농산물,3
472,5.011E+15,1.171E+15,식품,기타식품,3
473,5.011E+15,4.7111E+15,식품,농산물,3
474,5.011E+15,1.15E+15,식품,음료,3
475,5.011E+15,4.4133E+15,식품,농산물,8
476,5.011E+15,4.5111E+15,식품,농산물,3
477,5.011E+15,4.721E+15,식품,농산물,3
478,5.011E+15,1.1305E+15,식품,농산물,4
479,5.011E+15,4.1195E+15,식품,건강식품,6
480,5.011E+15,1.12E+15,생활/건강,음반,3
481,5.011E+15,1.129E+15,생활/건강,음반,3
482,5.011E+15,1.132E+15,생활/건강,음반,3
483,5.011E+15,1.138E+15,생활/건강,음반,4
484,5.011E+15,1.162E+15,생활/건강,음반,3
485,5.011E+15,4.157E+15,생활/건강,음반,4
486,5.011E+15,4.159E+15,생활/건강,음반,3
487,5.011E+15,4.521E+15,생활/건강,음반,3
488,5.011E+15,2.723E+15,식품,농산물,3
489,5.011E+15,1.147E+15,식품,농산물,5
490,5.011E+15,2.811E+15,식품,농산물,3
491,5.011E+15,3.02E+15,식품,농산물,3
492,5.011E+15,4.521E+15,식품,음료,3
493,5.011E+15,4.313E+15,식품,농산물,3
494,5.011E+15,4.42E+15,식품,농산물,14
495,5.011E+15,2.726E+15,식품,음료,3
496,5.011E+15,2.726E+15,식품,음료,4
497,5.011E+15,2.626E+15,식품,농산물,3
498,5.011E+15,4.79E+15,식품,농산물,3
499,5.011E+15,4.1117E+15,식품,농산물,4
500,5.011E+15,4.276E+15,식품,농산물,3
501,5.011E+15,2.82E+15,식품,농산물,13
502,5.013E+15,4.1199E+15,식품,농산물,5
503,5.013E+15,4.213E+15,식품,농산물,3
504,5.013E+15,4.728E+15,식품,농산물,3
505,5.013E+15,4.1133E+15,식품,기타식품,7
506,5.013E+15,4.571E+15,식품,기타식품,3
507,5.013E+15,4.723E+15,식품,음료,3
508,5.013E+15,1.12E+15,식품,농산물,3
509,5.013E+15,3.12E+15,식품,농산물,3
510,5.013E+15,4.713E+15,식품,농산물,3
511,5.013E+15,2.635E+15,식품,농산물,3
512,5.013E+15,4.155E+15,식품,농산물,4
513,5.013E+15,4.817E+15,식품,농산물,3
514,5.013E+15,4.1273E+15,식품,농산물,7
515,5.013E+15,4.1271E+15,식품,농산물,3
516,5.013E+15,4.7111E+15,식품,농산물,6
517,5.013E+15,2.635E+15,식품,농산물,3
518,5.013E+15,4.784E+15,식품,농산물,7
519,5.013E+15,4.719E+15,식품,농산물,4
520,5.013E+15,1.171E+15,식품,농산물,3
521,5.013E+15,2.629E+15,식품,농산물,4
522,5.013E+15,2.726E+15,식품,농산물,3
523,5.013E+15,2.8185E+15,식품,농산물,3
524,5.013E+15,4.1113E+15,식품,농산물,3
525,5.013E+15,4.1465E+15,식품,농산물,4
526,5.013E+15,4.157E+15,식품,농산물,3
